월,구분,담당부서,광고주명,코드,총매출,영업수익,영업비용,영업실적,인건비,관리손익
2월,광고주,SAE팀,(주)나인스쿨,54669,"1,286,666","193,000",0,"193,000","89,025","103,975"
2월,광고주,CS파트,송정필방,31463,"1,469,411","144,736",0,"144,736","88,061","56,675"
2월,광고주,사업지원팀,이엠넷,10157,"708,116","54,089",0,"54,089","86,822","-32,733"
2월,광고주,SAE팀,(주)벤제프,59357,"1,213,333","182,000",0,"182,000","83,951","98,049"
2월,광고주,SAE팀,발해유학원,60704,"1,178,830","176,826",0,"176,826","81,564","95,262"
2월,광고주,CS파트,주식회사 모던인텍,52081,"763,906","133,948",0,"133,948","81,496","52,452"
2월,광고주,SAE팀,주식회사 골프파트너앤코스모,61426,"1,147,940","172,191",0,"172,191","79,426","92,765"
2월,광고주,SAE팀,에이블스토어,55298,"1,120,000","168,000",0,"168,000","77,493","90,507"
2월,광고주,CS파트,(주)스폰지마트,59261,"828,120","124,218",0,"124,218","75,577","48,641"
2월,광고주,SAE팀,코아리에프앤비,61539,"1,081,430","162,215",0,"162,215","74,825","87,390"
2월,광고주,광고사업3본부2실4팀 (조다솜),(주)아모레퍼시픽,60751,0,0,0,0,"73,558","-73,558"
2월,광고주,CS파트,레퍼런스체크코리아 주식회사,57708,"794,690","119,204",0,"119,204","72,527","46,677"
2월,광고주,CS파트,코리아에폭시,58684,"791,280","118,693",0,"118,693","72,215","46,478"
2월,광고주,SAE팀,주식회사 딜사이트에스,61391,"1,032,520","154,879",0,"154,879","71,441","83,438"
2월,광고주,CS파트,주식회사 테크원씨엔에스,60418,"782,690","117,404",0,"117,404","71,431","45,973"
2월,광고주,SAE팀,남장현산부인과,10663,"970,230","145,535",0,"145,535","67,131","78,404"
2월,광고주,CS파트,서광에프알피산업,24490,"732,590","109,890",0,"109,890","66,859","43,031"
2월,광고주,SAE팀,위너에너텍(린나이동대문대리점),61429,"962,233","144,336",0,"144,336","66,578","77,758"
2월,광고주,SAE팀,그림이좋은사람들,61420,"949,120","142,369",0,"142,369","65,670","76,699"
2월,광고주,CS파트,송탄성모안과,58705,"709,950","106,493",0,"106,493","64,793","41,700"
2월,광고주,CS파트,ACA 강남,60806,"709,600","106,440",0,"106,440","64,761","41,679"
2월,광고주,SAE팀,수피부과의원,61190,"710,535","137,655",0,"137,655","63,496","74,159"
2월,광고주,운영실2팀 (주규철),생고뱅코리아 주식회사,61031,"25,377",0,0,0,"61,787","-61,787"
2월,광고주,SAE팀,강남편입아카데미(동의엠스쿨),16106,"865,650","129,848",0,"129,848","59,895","69,953"
2월,광고주,광고사업1본부2실1팀 (추성호),주식회사 케이비손해보험,29625,-632,-95,0,-95,"59,702","-59,797"
2월,광고주,CS파트,제이제이비뇨기과,49955,"646,860","97,029",0,"97,029","59,034","37,995"
2월,광고주,CS파트,청호문화사,55257,"644,450","96,668",0,"96,668","58,815","37,853"
2월,광고주,SAE팀,(주)알앤디코리아,58379,"849,500","127,425",0,"127,425","58,777","68,648"
2월,광고주,SAE팀,부강아이티(주),39679,"821,930","123,291",0,"123,291","56,870","66,421"
